date,year,month,mean_rad,median_rad,std_rad,min_rad,max_rad,valid_pixels,total_pixels,valid_pixel_ratio
2023-08-01,2023,8,5.271251,2.3,8.400291,0.0,138.649994,1575,1575,1.0
2023-09-01,2023,9,5.020793,2.29,6.972216,0.36,75.610001,1575,1575,1.0
2023-10-01,2023,10,7.232876,3.99,7.797521,0.92,61.669998,1575,1575,1.0
2023-11-01,2023,11,7.476927,3.93,8.105894,0.82,55.150002,1575,1575,1.0
2023-12-01,2023,12,7.207276,3.42,8.818293,0.72,70.75,1575,1575,1.0
2024-01-01,2024,1,7.042501,3.79,7.967263,0.62,59.18,1575,1575,1.0
2024-02-01,2024,2,7.983092,4.08,9.540586,0.7,76.410004,1575,1575,1.0
2024-03-01,2024,3,6.896374,3.94,7.244174,0.86,53.779999,1575,1575,1.0
2024-04-01,2024,4,7.307549,4.59,7.039596,1.06,47.25,1575,1575,1.0
2024-05-01,2024,5,7.124851,4.41,6.905364,1.02,52.400002,1575,1575,1.0
2024-06-01,2024,6,6.491143,4.04,6.171834,1.0,47.099998,1575,1575,1.0
2024-07-01,2024,7,2.76833,1.07,7.004698,0.0,86.239998,1575,1575,1.0
2024-08-01,2024,8,7.400889,3.19,10.493952,0.84,94.730003,1575,1575,1.0
2024-09-01,2024,9,5.830927,2.17,8.928348,0.5,109.519997,1575,1575,1.0
2024-10-01,2024,10,8.289695,4.86,8.37922,1.03,75.410004,1575,1575,1.0
2024-11-01,2024,11,7.955727,4.12,9.126474,0.84,67.120003,1575,1575,1.0
2024-12-01,2024,12,7.5256,4.06,8.589794,0.87,61.540001,1575,1575,1.0
2025-01-01,2025,1,7.407911,3.87,8.641507,0.53,60.119999,1575,1575,1.0
2025-02-01,2025,2,7.602489,4.92,7.135343,1.03,47.459999,1575,1575,1.0
2025-03-01,2025,3,7.207765,4.12,7.712262,0.93,53.43,1575,1575,1.0
2025-04-01,2025,4,7.493632,4.67,7.412807,1.14,52.41,1575,1575,1.0
2025-05-01,2025,5,8.576006,4.54,10.63045,1.03,90.559998,1575,1575,1.0
2025-06-01,2025,6,7.027442,5.44,5.767852,1.07,43.869999,1575,1575,1.0
2025-07-01,2025,7,4.899079,1.87,9.10898,0.0,127.330002,1575,1575,1.0
2025-08-01,2025,8,6.236267,3.06,8.139859,0.56,78.629997,1575,1575,1.0
2025-09-01,2025,9,10.374533,4.88,12.569246,1.08,81.260002,1575,1575,1.0
2025-10-01,2025,10,8.95381,4.43,10.16121,0.78,63.139999,1575,1575,1.0
2025-11-01,2025,11,7.651937,4.03,9.117269,0.69,66.440002,1575,1575,1.0
2025-12-01,2025,12,7.558755,3.92,8.81961,0.51,58.779999,1575,1575,1.0
