date,year,month,mean_rad,median_rad,std_rad,min_rad,max_rad,valid_pixels,total_pixels,valid_pixel_ratio,mean_rad_smooth,cleaned
2021-07-01,2021,7,13.009448,5.755,16.059977,0.0,97.739998,6162,6241,0.9873,12.86921,0
2021-08-01,2021,8,12.483578,0.0,5.597353,0.0,65.959999,6162,6241,0.9873,12.483578,1
2021-09-01,2021,9,11.957707,3.905,17.053417,0.0,131.600006,6162,6241,0.9873,13.448796,0
2021-10-01,2021,10,15.905102,8.6,16.751551,1.17,88.629997,6162,6241,0.9873,16.218915,0
2021-11-01,2021,11,20.793936,11.325,21.643902,1.28,196.320007,6162,6241,0.9873,16.945209,0
2021-12-01,2021,12,14.136588,8.44,14.256316,1.02,97.019997,6162,6241,0.9873,17.187535,0
2022-01-01,2022,1,16.632082,9.19,17.934568,0.99,137.869995,6162,6241,0.9873,15.775812,0
2022-02-01,2022,2,16.558765,9.43,17.327456,1.25,109.370003,6162,6241,0.9873,16.217907,0
2022-03-01,2022,3,15.462874,9.535,15.109608,1.39,94.970001,6162,6241,0.9873,15.585025,0
2022-04-01,2022,4,14.733436,9.51,13.497478,1.48,80.169998,6162,6241,0.9873,15.759251,0
2022-05-01,2022,5,17.081442,10.52,17.202139,1.42,237.130005,6162,6241,0.9873,15.527898,0
2022-06-01,2022,6,14.768816,8.76,15.052069,1.03,78.830002,6162,6241,0.9873,15.472584,0
2022-07-01,2022,7,14.567494,0.0,0.0,0.0,0.0,6162,6241,0.9873,14.567495,1
2022-08-01,2022,8,14.366173,6.555,17.473982,0.0,135.559998,6162,6241,0.9873,15.421992,0
2022-09-01,2022,9,17.332308,8.95,19.917048,0.0,176.589996,6162,6241,0.9873,17.739175,0
2022-10-01,2022,10,21.519045,11.87,22.04763,1.37,180.130005,6162,6241,0.9873,18.792521,0
2022-11-01,2022,11,17.526211,10.175,18.030043,1.26,140.860001,6162,6241,0.9873,18.191987,0
